ID,CUBE_ID,COMBINATION_ID
10918,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_151610_REF
10919,F_31_01_REF_FINREP_3_0,F_31_01_REF_FINREP_3_0_234322_REF
10920,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_152535_REF
10921,F_21_00_REF_FINREP_3_0,F_21_00_REF_FINREP_3_0_11931_REF
10922,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151343_REF
10923,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150823_REF
10924,F_20_02_REF_FINREP_3_0,F_20_02_REF_FINREP_3_0_11324_REF
10925,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_10648_REF
10926,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_151665_REF
10927,F_04_01_REF_FINREP_3_0,F_04_01_REF_FINREP_3_0_11083_REF
10928,F_04_07_REF_FINREP_3_0,F_04_07_REF_FINREP_3_0_45692_REF
10929,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_150330_REF
10930,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150767_REF
10931,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_10653_REF
10932,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_151911_REF
10933,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441686_REF
10934,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_11462_REF
10935,F_31_01_REF_FINREP_3_0,F_31_01_REF_FINREP_3_0_67887_REF
10936,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151565_REF
10937,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_11280_REF
10938,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153387_REF
10939,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_151753_REF
10940,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_152086_REF
10941,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_151855_REF
10942,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150628_REF
10943,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150619_REF
10944,F_13_01_REF_FINREP_3_0,F_13_01_REF_FINREP_3_0_441816_REF
