ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
3732,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
3733,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
3734,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
3735,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
3736,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
3737,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
3738,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
3739,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__PRJCT_FNNC_LN,PRJCT_FNNC_LN,,,,,,,,,,,,
3740,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
3741,F_04_08_REF_FINREP_3_0_cube_structure,F_04_08_REF_FINREP_3_0_cube_structure__ACCMLTD_PRTL_WRTFFS,ACCMLTD_PRTL_WRTFFS,,,,,,,,,,,,
3742,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__FV_HRRCHY,FV_HRRCHY,,,,,,,,,,,,
3743,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
3744,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
3745,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
3746,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
3747,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
3748,F_11_02_REF_FINREP_3_0_cube_structure,F_11_02_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
3749,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
3750,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__GRSS_CRRYNG_AMNT,GRSS_CRRYNG_AMNT,,,,,,,,,,,,
3751,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
3752,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
3753,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
3754,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
3755,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
3756,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
3757,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
3758,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
3759,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
3760,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
3761,F_06_01_REF_FINREP_3_0_cube_structure,F_06_01_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
